src_ip,dst_ip,src_port,dst_port,proto,ip_version,service,duration,total_packets,total_bytes,a_to_b_packets,b_to_a_packets,a_to_b_bytes,b_to_a_bytes,a_to_b_packet_ratio,b_to_a_packet_ratio,packets_per_second,bytes_per_second,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,src_is_private,dst_is_private,both_private
192.168.1.173,192.168.1.183,5353,5353,udp,ipv4,mdns,50.76792001724243,4,1840,4,0,1840,0,1.0,0.0,0.07878991297341846,36.24335996777249,460,460,460.0,0.0,0,0,0,0,0,1,1,1
fe80::140c:f4a0:c4fd:55e7,fe80::80f:fc10:f7e3:fdae,61655,63561,tcp,ipv6,tcp_other,47.2320818901062,1454,1988373,1280,174,1916516,71857,0.8803301237964236,0.11966987620357634,30.784160719042372,42097.932600690816,86,1514,1367.519257221458,429.56956236899674,0,1454,0,0,18,1,1,1
fe80::10c6:4951:735b:63a6,fe80::80f:fc10:f7e3:fdae,50473,63561,tcp,ipv6,tcp_other,44.77707386016846,1820,2442486,1567,253,2340556,101930,0.860989010989011,0.13901098901098902,40.64580025223544,54547.691249934905,86,1514,1342.0252747252748,462.7706115578511,0,1820,0,0,28,1,1,1
14.17.27.28,192.168.1.173,8000,6259,udp,ipv4,udp_other,41.3505380153656,4,1618,2,2,848,770,0.5,0.5,0.09673392879467796,39.12887419744723,385,424,404.5,19.5,0,0,0,0,0,0,1,0
192.168.1.128,192.168.1.173,5353,5353,udp,ipv4,mdns,40.456576108932495,10,4103,6,4,495,3608,0.6,0.4,0.2471786038708322,101.41738116820245,79,902,410.3,401.48052256616387,0,0,0,0,0,1,1,1
122.228.15.230,192.168.1.173,443,56329,tcp,ipv4,https,34.089322090148926,38,16846,18,20,7819,9027,0.47368421052631576,0.5263157894736842,1.1147185590698847,494.1723380550336,54,1506,443.3157894736842,484.3814886974912,2,37,0,0,16,0,1,0
192.168.1.173,59.111.160.244,56704,443,tcp,ipv4,https,32.60583996772766,28,6125,15,13,3848,2277,0.5357142857142857,0.4642857142857143,0.8587418704046149,187.84978415100952,54,1506,218.75,307.8479013362652,2,27,0,0,12,1,0,0
192.168.1.173,223.6.6.6,56211,443,tcp,ipv4,https,32.28788208961487,59,11154,28,31,4157,6997,0.4745762711864407,0.5254237288135594,1.8273109346796352,345.45468076977374,60,1506,189.05084745762713,324.56309217834144,2,56,2,2,28,1,0,0
192.168.1.173,223.5.5.5,56209,443,tcp,ipv4,https,32.27454113960266,55,10722,26,29,3900,6822,0.4727272727272727,0.5272727272727272,1.7041295726591117,332.21231414638174,54,1506,194.94545454545454,335.2003155879301,2,52,2,2,25,1,0,0
2406:da14:1cb0:deb9:1592:7d40:41d9:5445,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56274,tcp,ipv6,tcp_other,32.21093702316284,39,15087,18,21,7940,7147,0.46153846153846156,0.5384615384615384,1.2107688755516535,468.3812827037897,74,1506,386.84615384615387,522.9756840188181,2,38,0,0,10,0,0,0
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56758,tcp,ipv6,tcp_other,30.87688899040222,75,40061,35,40,29958,10103,0.4666666666666667,0.5333333333333333,2.429001186722957,1297.442887217445,86,1506,534.1466666666666,597.0190324902177,2,74,0,0,29,0,0,0
2406:da14:dd5:18a5:92a0:b82d:cba2:d736,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56766,tcp,ipv6,tcp_other,30.7534921169281,55,22994,26,29,14200,8794,0.4727272727272727,0.5272727272727272,1.7884147852505354,747.6874467645601,74,1506,418.07272727272726,533.6724516216241,2,54,0,0,15,0,0,0
111.124.203.33,192.168.1.173,443,56761,tcp,ipv4,https,30.524229049682617,50,19595,24,26,7874,11721,0.48,0.52,1.6380430090017257,641.9490552277763,54,1506,391.9,532.9165131613019,2,49,0,0,18,0,1,0
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56752,tcp,ipv6,tcp_other,30.473921060562134,46,19418,21,25,11782,7636,0.45652173913043476,0.5434782608695652,1.5094874042819177,637.2005742683973,74,1506,422.1304347826087,511.93340296734306,2,45,0,0,17,0,0,0
115.227.12.33,192.168.1.173,443,56202,tcp,ipv4,https,30.321266889572144,31,5146,15,16,1483,3663,0.4838709677419355,0.5161290322580645,1.022384721354149,169.71586374478872,54,1225,166.0,282.6276474387709,2,30,6,0,7,0,1,0
111.124.203.50,192.168.1.173,443,56636,tcp,ipv4,https,30.201600074768066,33,10640,16,17,6973,3667,0.48484848484848486,0.5151515151515151,1.0926573399523245,352.2992150634161,54,1506,322.42424242424244,471.6672575413172,2,32,2,0,13,0,1,0
240e:393:3219:9550:709f:cf42:167a:72bc,2607:5300:205:200::7996,51039,5021,udp,ipv6,udp_other,30.200196027755737,14,1224,13,1,1131,93,0.9285714285714286,0.07142857142857142,0.46357314989390086,40.52953824786676,87,93,87.42857142857143,1.5452362609130361,0,0,0,0,0,0,0,0
122.228.79.49,192.168.1.173,443,56331,tcp,ipv4,https,30.09205913543701,30,11696,16,14,7528,4168,0.5333333333333333,0.4666666666666667,0.9969407498827955,388.6739670209725,54,1506,389.8666666666667,541.1409387170366,2,29,1,0,9,0,1,0
115.238.230.12,192.168.1.173,443,56604,tcp,ipv4,https,27.917749881744385,27,10679,14,13,6638,4041,0.5185185185185185,0.48148148148148145,0.967126652913224,382.5165009800118,54,1506,395.51851851851853,557.2886990613653,2,25,2,1,5,0,1,0
2406:da14:dd5:18a5:92a0:b82d:cba2:d736,240e:393:3219:9550:709f:cf42:167a:72bc,7001,55821,tcp,ipv6,tcp_other,27.363687992095947,16,1388,8,8,688,700,0.5,0.5,0.5847165047570207,50.72415678767155,74,110,86.75,10.790620927453618,0,14,2,2,2,0,0,0
122.228.15.226,192.168.1.173,443,56667,tcp,ipv4,https,26.89116907119751,18,3756,8,10,1013,2743,0.4444444444444444,0.5555555555555556,0.6693647253618055,139.67410602549674,54,1506,208.66666666666666,355.03035863930785,2,16,2,1,4,0,1,0
122.228.79.51,192.168.1.173,443,56650,tcp,ipv4,https,26.670351028442383,18,3692,8,10,1013,2679,0.4444444444444444,0.5555555555555556,0.6749067524759627,138.43087389673636,54,1506,205.11111111111111,350.2094435062933,2,16,2,1,4,0,1,0
111.124.203.51,192.168.1.173,443,56622,tcp,ipv4,https,24.69725489616394,134,81661,55,79,12231,69430,0.41044776119402987,0.5895522388059702,5.4257042154435275,3306.4808353532385,54,1506,609.4104477611941,650.1307585204889,2,133,0,0,44,0,1,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:938:a07:6:0:14:203:35,56617,443,tcp,ipv6,https,24.37753701210022,562,494410,234,328,141327,353083,0.41637010676156583,0.5836298932384342,23.054010736238094,20281.376242177004,74,1506,879.7330960854092,660.2091978987104,2,561,0,0,136,0,0,0
192.168.1.173,223.5.5.5,56301,443,tcp,ipv4,https,24.109259843826294,156,25842,73,83,10791,15051,0.46794871794871795,0.532051282051282,6.470542895573264,1071.8703173551557,66,1506,165.65384615384616,240.7516715559873,2,155,0,0,92,1,0,0
